402041040,3,4,4,70,135,0,5,22,29,181,106,4,35,5,28,33,51,23,48,29,53,0,67,381,44,13,49,0,44,13,22,42,43,4,11,0,13,347,76,0,12,15,43,3,4,73,19,14,10,76,75
402041041,13,28,4,144,111,0,18,41,22,178,77,21,35,3,45,179,77,54,38,63,47,0,33,213,48,3,19,0,49,15,70,49,92,12,42,0,44,202,58,6,44,33,100,37,8,81,42,74,6,72,61
402041042,0,4,0,32,35,0,0,14,142,22,0,3,3,0,4,59,0,20,17,4,4,0,0,3,13,3,6,0,14,3,11,6,19,0,12,0,11,153,22,0,3,6,12,8,0,11,0,0,0,16,24
402041043,3,7,7,51,70,0,4,17,10,251,92,10,21,0,14,52,47,27,29,16,20,0,41,221,37,7,57,0,23,4,33,24,35,14,10,0,18,106,49,0,13,9,53,12,0,47,9,4,6,26,46
402041044,0,0,5,31,86,0,4,13,10,250,27,7,13,0,15,15,41,11,32,19,22,0,13,167,38,3,12,0,10,6,30,21,26,6,5,0,5,178,52,0,8,10,39,4,0,64,25,35,10,88,44
402041046,16,80,13,402,328,8,12,237,98,358,356,33,260,26,98,227,122,61,109,68,274,0,225,535,98,124,68,3,150,49,188,228,214,61,195,0,148,805,200,12,185,147,224,133,29,149,101,340,38,181,214
402041047,0,23,7,149,103,0,3,39,16,266,61,3,16,3,51,176,102,46,12,35,50,0,30,212,21,36,31,0,66,24,74,49,85,12,31,0,31,160,21,6,34,46,95,34,4,82,44,46,16,29,61
402041048,26,91,49,1108,148,75,18,367,945,239,166,532,46,36,341,1095,139,206,82,42,124,3,88,291,44,827,33,3,267,39,288,106,178,44,266,0,66,223,71,19,153,275,499,464,13,187,67,1224,62,53,115
402041171,26,75,3,424,215,87,26,256,267,337,110,407,50,10,188,96,60,63,73,39,76,0,40,206,114,35,71,4,184,39,118,225,113,22,70,0,78,272,87,6,66,28,209,63,8,86,37,92,6,126,67
402041172,35,95,11,518,193,6,7,157,69,68,38,18,22,16,65,465,117,135,106,57,154,0,140,81,42,90,21,0,158,30,190,109,188,80,199,0,199,334,72,17,162,269,592,402,17,74,99,506,51,36,99
402051049,18,24,15,118,169,3,8,60,8,328,114,18,29,8,35,63,74,44,57,48,68,0,35,234,83,61,84,0,45,17,53,68,97,12,32,0,38,501,125,5,40,37,140,20,0,78,34,40,20,117,118
