Code,Label,Year,Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%)
125041588,Pendle Hill - Girraween,2018,"1,089","1,206",929,683,653,962,"1,276","1,554","1,134",785,724,647,555,478,405,292,237,284,7.8,8.7,6.7,4.9,4.7,6.9,9.2,11.2,8.2,5.7,5.2,4.7,4.0,3.4,2.9,2.1,1.7,2.0
125041589,Wentworthville - Westmead,2018,"1,429","1,331",900,758,"1,021","1,505","2,141","1,917","1,367",865,800,803,733,498,414,278,256,256,8.3,7.7,5.2,4.4,5.9,8.7,12.4,11.1,7.9,5.0,4.6,4.6,4.2,2.9,2.4,1.6,1.5,1.5
126011495,Epping - North Epping,2018,"1,566","2,025","1,789","1,950","2,667","2,680","2,170","2,326","2,025","1,941","1,791","1,841","1,584","1,272",929,668,571,692,5.1,6.6,5.9,6.4,8.7,8.8,7.1,7.6,6.6,6.4,5.9,6.0,5.2,4.2,3.0,2.2,1.9,2.3
126011496,Pennant Hills - Cheltenham,2018,"1,185","1,576","1,468","1,489","1,566","1,062","1,003","1,379","1,506","1,617","1,479","1,408","1,264","1,064",928,678,524,606,5.4,7.2,6.7,6.8,7.2,4.9,4.6,6.3,6.9,7.4,6.8,6.5,5.8,4.9,4.3,3.1,2.4,2.8
126021497,Eastwood - Denistone,2018,"1,455","1,583","1,348","1,498","2,416","2,584","1,998","1,959","1,584","1,638","1,618","1,657","1,607","1,279",979,676,501,626,5.4,5.9,5.0,5.5,8.9,9.6,7.4,7.3,5.9,6.1,6.0,6.1,6.0,4.7,3.6,2.5,1.9,2.3
126021498,Gladesville - Huntleys Point,2018,939,960,910,819,868,"1,059","1,121","1,189","1,140","1,191","1,027",894,824,772,636,449,328,423,6.0,6.2,5.9,5.3,5.6,6.8,7.2,7.6,7.3,7.7,6.6,5.7,5.3,5.0,4.1,2.9,2.1,2.7
126021499,Hunters Hill - Woolwich,2018,492,702,913,"1,131",629,485,454,521,669,818,724,667,563,565,512,358,226,558,4.5,6.4,8.3,10.3,5.7,4.4,4.1,4.7,6.1,7.4,6.6,6.1,5.1,5.1,4.7,3.3,2.1,5.1
126021500,Macquarie Park - Marsfield,2018,"1,301","1,042",694,"1,206","3,627","3,062","2,559","2,079","1,386","1,014",956,932,917,788,614,472,454,721,5.5,4.4,2.9,5.1,15.2,12.9,10.7,8.7,5.8,4.3,4.0,3.9,3.8,3.3,2.6,2.0,1.9,3.0
126021501,North Ryde - East Ryde,2018,779,861,762,722,917,833,814,920,962,922,916,867,708,592,431,411,348,421,5.9,6.5,5.8,5.5,7.0,6.3,6.2,7.0,7.3,7.0,6.9,6.6,5.4,4.5,3.3,3.1,2.6,3.2
126021503,West Ryde - Meadowbank,2018,"1,452","1,170",849,832,"1,443","2,350","2,747","2,243","1,428","1,195","1,107","1,067",975,810,587,455,313,264,6.8,5.5,4.0,3.9,6.8,11.0,12.9,10.5,6.7,5.6,5.2,5.0,4.6,3.8,2.8,2.1,1.5,1.2
126021590,Putney,2018,174,285,325,352,301,230,163,211,267,334,354,337,272,236,141,101,75,97,4.1,6.7,7.6,8.3,7.1,5.4,3.8,5.0,6.3,7.8,8.3,7.9,6.4,5.5,3.3,2.4,1.8,2.3
126021591,Ryde,2018,"2,091","1,758","1,464","1,503","2,277","3,043","3,268","2,704","2,121","1,883","1,756","1,515","1,396","1,141",967,707,635,800,6.7,5.7,4.7,4.8,7.3,9.8,10.5,8.7,6.8,6.1,5.7,4.9,4.5,3.7,3.1,2.3,2.0,2.6
127011504,Ashcroft - Busby - Miller,2018,"1,438","1,512","1,436","1,483","1,380","1,302","1,182","1,117",980,"1,028","1,091","1,181",932,660,460,485,395,232,7.9,8.3,7.8,8.1,7.5,7.1,6.5,6.1,5.4,5.6,6.0,6.5,5.1,3.6,2.5,2.7,2.2,1.3
127011505,Austral - Greendale,2018,498,569,687,641,689,593,498,526,530,644,567,540,526,515,457,259,172,212,5.5,6.2,7.5,7.0,7.6,6.5,5.5,5.8,5.8,7.1,6.2,5.9,5.8,5.6,5.0,2.8,1.9,2.3
127011506,Cobbitty - Leppington,2018,"2,908","2,284","1,742","1,444","1,834","2,713","3,077","2,355","1,723","1,440","1,202","1,095",971,739,622,380,247,142,10.8,8.5,6.5,5.4,6.8,10.1,11.4,8.7,6.4,5.3,4.5,4.1,3.6,2.7,2.3,1.4,0.9,0.5
127011592,Badgerys Creek,2018,2,3,7,4,3,7,4,2,5,2,3,3,2,4,4,1,4,2,3.2,4.8,11.3,6.5,4.8,11.3,6.5,3.2,8.1,3.2,4.8,4.8,3.2,6.5,6.5,1.6,6.5,3.2
127011593,Cecil Hills,2018,354,443,599,637,642,547,393,422,446,607,557,572,408,295,171,117,61,32,4.8,6.1,8.2,8.7,8.8,7.5,5.4,5.8,6.1,8.3,7.6,7.8,5.6,4.0,2.3,1.6,0.8,0.4
127011594,Green Valley,2018,864,890,970,"1,084",999,"1,052",843,858,841,846,923,958,738,499,345,203,130,113,6.6,6.8,7.4,8.2,7.6,8.0,6.4,6.5,6.4,6.4,7.0,7.3,5.6,3.8,2.6,1.5,1.0,0.9
127011595,Hinchinbrook,2018,"1,052","1,015","1,062","1,012","1,138",948,973,"1,012",897,968,927,801,600,449,264,194,114,71,7.8,7.5,7.9,7.5,8.4,7.0,7.2,7.5,6.6,7.2,6.9,5.9,4.4,3.3,2.0,1.4,0.8,0.5
127011596,Hoxton Park - Carnes Hill - Horningsea Park,2018,"1,055","1,190","1,099",998,896,849,"1,078","1,148",984,904,763,665,505,366,239,114,97,50,8.1,9.2,8.5,7.7,6.9,6.5,8.3,8.8,7.6,7.0,5.9,5.1,3.9,2.8,1.8,0.9,0.7,0.4
127011597,West Hoxton - Middleton Grange,2018,"1,514","1,497","1,417","1,331","1,182","1,249","1,431","1,499","1,362","1,272",965,798,535,457,293,172,105,60,8.8,8.7,8.3,7.8,6.9,7.3,8.3,8.7,7.9,7.4,5.6,4.7,3.1,2.7,1.7,1.0,0.6,0.4
127021509,Bonnyrigg Heights - Bonnyrigg,2018,890,"1,114","1,216","1,263","1,422","1,277","1,060","1,053","1,029","1,125","1,151","1,194","1,042",764,523,323,197,214,5.3,6.6,7.2,7.5,8.4,7.6,6.3,6.2,6.1,6.7,6.8,7.1,6.2,4.5,3.1,1.9,1.2,1.3
127021510,Bossley Park - Abbotsbury,2018,"1,036","1,131","1,309","1,475","1,602","1,448","1,154","1,072","1,224","1,292","1,269","1,507","1,249","1,092",726,536,345,316,5.2,5.7,6.6,7.5,8.1,7.3,5.8,5.4,6.2,6.5,6.4,7.6,6.3,5.5,3.7,2.7,1.7,1.6
127021511,Cabramatta - Lansvale,2018,"1,517","1,495","1,421","1,740","2,283","2,132","1,793","1,545","1,539","1,805","1,789","1,705","1,550","1,165",759,582,456,597,5.9,5.8,5.5,6.7,8.8,8.2,6.9,6.0,5.9,7.0,6.9,6.6,6.0,4.5,2.9,2.2,1.8,2.3
127021512,Cabramatta West - Mount Pritchard,2018,"1,198","1,253","1,293","1,353","1,491","1,400","1,172","1,138","1,134","1,207","1,227","1,129",951,757,511,444,369,300,6.5,6.8,7.1,7.4,8.1,7.6,6.4,6.2,6.2,6.6,6.7,6.2,5.2,4.1,2.8,2.4,2.0,1.6
127021513,Canley Vale - Canley Heights,2018,"1,380","1,296","1,483","1,570","1,944","1,710","1,475","1,365","1,324","1,493","1,439","1,466","1,289",871,647,487,348,434,6.3,5.9,6.7,7.1,8.8,7.8,6.7,6.2,6.0,6.8,6.5,6.7,5.9,4.0,2.9,2.2,1.6,2.0
127021514,Edensor Park,2018,613,605,665,737,879,879,652,618,556,650,735,817,678,477,301,235,117,107,5.9,5.9,6.4,7.1,8.5,8.5,6.3,6.0,5.4,6.3,7.1,7.9,6.6,4.6,2.9,2.3,1.1,1.0
127021515,Fairfield,2018,"1,194","1,200","1,120","1,311","1,585","1,484","1,482","1,225","1,166","1,277","1,240","1,172","1,009",852,637,479,352,350,6.2,6.3,5.9,6.9,8.3,7.8,7.7,6.4,6.1,6.7,6.5,6.1,5.3,4.5,3.3,2.5,1.8,1.8
127021516,Fairfield - West,2018,"1,334","1,335","1,439","1,541","1,664","1,599","1,322","1,286","1,233","1,357","1,284","1,233","1,022",823,768,612,375,319,6.5,6.5,7.0,7.5,8.1,7.8,6.4,6.3,6.0,6.6,6.2,6.0,5.0,4.0,3.7,3.0,1.8,1.6
127021517,Greenfield Park - Prairiewood,2018,475,564,609,635,642,680,501,481,517,561,564,589,587,485,363,268,154,134,5.4,6.4,6.9,7.2,7.3,7.7,5.7,5.5,5.9,6.4,6.4,6.7,6.7,5.5,4.1,3.0,1.7,1.5
127021518,Horsley Park - Kemps Creek,2018,245,251,321,313,386,333,247,209,301,343,325,300,263,249,213,163,114,111,5.2,5.4,6.8,6.7,8.2,7.1,5.3,4.5,6.4,7.3,6.9,6.4,5.6,5.3,4.5,3.5,2.4,2.4
127021519,Smithfield - Wetherill Park,2018,"1,233","1,290","1,178","1,165","1,387","1,458","1,225","1,170","1,185","1,227","1,068","1,189","1,122",980,793,578,469,389,6.5,6.8,6.2,6.1,7.3,7.6,6.4,6.1,6.2,6.4,5.6,6.2,5.9,5.1,4.2,3.0,2.5,2.0
127021520,St Johns Park - Wakeley,2018,582,674,699,718,830,824,703,662,595,690,654,759,788,713,503,347,222,248,5.2,6.0,6.2,6.4,7.4,7.3,6.3,5.9,5.3,6.2,5.8,6.8,7.0,6.4,4.5,3.1,2.0,2.2
